epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,521.33,0.41424,0.64683,0.65087,1.01239,0.87776,0.94301,0.97027,0.77804,0.79349,0.86633,0.86124,0.78922,0.6004,0.13973,0.62897,1.24339,0.00061023,0.00061023,0.00061023
85,527.618,0.39656,0.65405,0.62728,0.98382,0.85479,0.96429,0.97119,0.85479,0.76695,0.83929,0.84762,0.80972,0.54095,0.15515,0.58685,1.11876,0.00060663,0.00060663,0.00060663
86,533.707,0.38841,0.63648,0.64772,0.98481,0.86318,0.96429,0.97119,0.81898,0.78728,0.83929,0.84769,0.77732,0.61073,0.14934,0.64059,1.10926,0.000603031,0.000603031,0.000603031
87,539.955,0.38197,0.7201,0.6611,0.97111,0.8262,0.95189,0.96949,0.81003,0.76034,0.84596,0.85094,0.77509,0.62898,0.14242,0.64699,1.09815,0.000599431,0.000599431,0.000599431
88,546.034,0.3669,0.59382,0.59523,0.95463,0.88351,0.90782,0.97227,0.81063,0.79749,0.81923,0.86532,0.79916,0.57051,0.13762,0.64211,1.0797,0.000595831,0.000595831,0.000595831
89,552.322,0.4087,0.726,0.64953,0.98401,0.77802,0.8824,0.9487,0.80528,0.71039,0.81202,0.85345,0.81232,0.51779,0.13394,0.65727,1.19947,0.000592232,0.000592232,0.000592232
90,558.818,0.36784,0.72346,0.57345,0.97723,0.7875,0.88603,0.97227,0.82413,0.68616,0.77889,0.84105,0.82518,0.51173,0.14472,0.61485,1.18848,0.000588632,0.000588632,0.000588632
91,565.127,0.37277,0.62949,0.60701,0.96167,0.83927,0.91444,0.9012,0.76948,0.7518,0.82649,0.79374,0.74669,0.4758,0.15098,0.53227,1.11792,0.000585032,0.000585032,0.000585032
92,571.149,0.36244,0.53203,0.55371,0.96707,0.86922,0.95048,0.91202,0.77542,0.76635,0.84334,0.78744,0.74932,0.52211,0.14299,0.5372,1.14143,0.000581433,0.000581433,0.000581433
93,577.404,0.35828,0.62014,0.56025,0.95667,0.85419,0.93156,0.91679,0.7695,0.76973,0.84259,0.80639,0.74849,0.50379,0.14853,0.56599,1.10103,0.000577833,0.000577833,0.000577833
